 ,Area,Mean
1,35.661,0
2,35.661,0
3,35.661,0
4,35.661,0
5,35.661,0
6,35.661,0
7,35.661,0
8,35.661,0
9,35.661,0
10,35.661,0
11,35.661,0
12,35.661,0
13,35.661,0
14,35.661,0
15,35.661,0
16,35.661,0
17,35.661,0
18,35.661,0
19,35.661,0
20,35.661,0
21,35.661,0
22,35.661,0
23,35.661,0
24,35.661,0
25,35.661,0
26,35.661,0
27,35.661,0
28,35.661,0
29,35.661,0
30,35.661,0
31,35.661,0
32,35.661,0
33,35.661,0
34,35.661,0
35,35.661,0
36,35.661,0
37,35.661,0
38,35.661,0
39,35.661,0
40,35.661,0
41,35.661,0
42,35.661,0
43,35.661,0
44,35.661,0
45,35.661,0
46,35.661,0
47,35.661,0
48,35.661,0
49,35.661,0
50,35.661,0
51,35.661,0
52,35.661,0
53,35.661,0
54,35.661,0
55,35.661,0
56,35.661,0
57,35.661,0
58,35.661,0
59,35.661,0
60,35.661,0
61,35.661,0
62,35.661,0
63,35.661,0
64,35.661,0
65,35.661,0
66,35.661,0
67,35.661,0
68,35.661,0
69,35.661,0
70,35.661,0
71,35.661,0
72,35.661,0
73,35.661,0
74,35.661,0
75,35.661,0
76,35.661,0
77,35.661,0
78,35.661,0
79,35.661,0
80,35.661,0
81,35.661,0
82,35.661,0
83,35.661,0
84,35.661,0
85,35.661,0
86,35.661,0
87,35.661,0
88,35.661,0
89,35.661,0
90,35.661,0
91,35.661,0
92,35.661,0
93,35.661,0
94,35.661,0
95,35.661,0
96,35.661,0
97,35.661,0
98,35.661,0
99,35.661,0
100,35.661,0
101,35.661,0
102,35.661,0
103,35.661,0
104,35.661,0
105,35.661,0
106,35.661,0
107,35.661,0
108,35.661,0
109,35.661,0
110,35.661,0
111,35.661,0
112,35.661,0
113,35.661,0
114,35.661,0
115,35.661,0
116,35.661,0
117,35.661,0
118,35.661,0
119,35.661,0
120,35.661,0
121,35.661,0
122,35.661,0
123,35.661,0
124,35.661,0
125,35.661,0
126,35.661,0
127,35.661,0
128,35.661,0
129,35.661,0
130,35.661,0
131,35.661,0
132,35.661,0
133,35.661,0
134,35.661,0
135,35.661,0
136,35.661,0
137,35.661,0
138,35.661,0
139,35.661,0
140,35.661,0
141,35.661,0
142,35.661,0
143,35.661,0
144,35.661,0
145,35.661,0
146,35.661,0
147,35.661,0
148,35.661,0
149,35.661,0
150,35.661,0
151,35.661,0
152,35.661,0
153,35.661,0
154,35.661,0
155,35.661,0
156,35.661,0
157,35.661,0
158,35.661,0
159,35.661,0
160,35.661,0
161,35.661,0
162,35.661,0
163,35.661,0
164,35.661,0
165,35.661,0
166,35.661,0
167,35.661,0
168,35.661,0
169,35.661,0
170,35.661,0
171,35.661,0
172,35.661,0
173,35.661,0
174,35.661,0
175,35.661,0
176,35.661,0
177,35.661,0
178,35.661,0
179,35.661,0
180,35.661,0
181,35.661,0
182,35.661,0
183,35.661,0
184,35.661,0
185,35.661,0
186,35.661,0
187,35.661,0
188,35.661,0
189,35.661,0
190,35.661,0
191,35.661,0
192,35.661,0
193,35.661,0
194,35.661,0
195,35.661,0
196,35.661,0
197,35.661,0
198,35.661,0
199,35.661,0
200,35.661,0
201,35.661,0
202,35.661,0
203,35.661,0
204,35.661,0
205,35.661,0
206,35.661,0
207,35.661,0
208,35.661,0
209,35.661,0
210,35.661,0
211,35.661,0
212,35.661,0
213,35.661,0
214,35.661,0
215,35.661,0
216,35.661,0
217,35.661,0
218,35.661,0
219,35.661,0
220,35.661,0
221,35.661,0
222,35.661,0
223,35.661,0
224,35.661,0
225,35.661,0
226,35.661,0
227,35.661,0
228,35.661,0
229,35.661,0
230,35.661,0
231,35.661,0
232,35.661,0
233,35.661,0
234,35.661,0
235,35.661,0
236,35.661,0
237,35.661,0
238,35.661,0
239,35.661,0
240,35.661,0
241,35.661,0
242,35.661,0
243,35.661,0
244,35.661,0
245,35.661,0
246,35.661,0
247,35.661,0
248,35.661,0
249,35.661,0
250,35.661,0
251,35.661,0
252,35.661,0
253,35.661,0
254,35.661,0
255,35.661,0
256,35.661,0
257,35.661,0
258,35.661,0
259,35.661,0
260,35.661,0
261,35.661,0
262,0.005,255
263,35.661,0
264,0.006,255
265,0.013,255
266,0.013,255
267,0.045,255
268,0.066,255
269,0.112,255
270,0.100,255
271,0.101,255
272,0.103,255
273,0.097,255
274,0.099,255
275,0.122,255
276,0.136,255
277,0.116,255
278,0.131,255
279,0.138,255
280,0.147,255
281,0.174,255
282,0.180,255
283,0.151,255
284,0.138,255
285,0.117,255
286,0.158,255
287,0.177,255
288,0.139,255
289,0.135,255
290,0.160,255
291,0.147,255
292,0.149,255
293,0.138,255
294,0.178,255
295,0.275,255
296,0.156,255
297,0.139,255
298,0.199,255
299,0.147,255
