 ,Area,Mean
1,37.661,0
2,37.661,0
3,37.661,0
4,37.661,0
5,37.661,0
6,0.005,255
7,0.004,255
8,0.003,255
9,37.661,0
10,37.661,0
11,0.024,255
12,0.022,255
13,0.024,255
14,0.027,255
15,0.029,255
16,0.041,255
17,0.048,255
18,0.058,255
19,0.066,255
20,0.071,255
21,0.082,255
22,0.092,255
23,0.100,255
24,0.105,255
25,0.194,255
26,0.188,255
27,0.186,255
28,0.193,255
29,0.206,255
30,0.213,255
31,0.235,255
32,0.248,255
33,0.282,255
34,0.268,255
35,0.266,255
36,0.259,255
37,0.245,255
38,0.279,255
39,0.270,255
40,0.331,255
41,0.333,255
42,0.338,255
43,0.343,255
44,0.349,255
45,0.396,255
46,0.393,255
47,0.424,255
48,0.436,255
49,0.447,255
50,0.446,255
51,0.464,255
52,0.465,255
53,0.485,255
54,0.502,255
55,0.502,255
56,0.554,255
57,0.556,255
58,0.564,255
59,0.573,255
60,0.596,255
61,0.582,255
62,0.595,255
63,0.605,255
64,0.619,255
65,0.609,255
66,0.636,255
67,0.622,255
68,0.768,255
69,0.786,255
70,0.783,255
71,0.793,255
72,0.711,255
73,0.734,255
74,0.700,255
75,0.679,255
76,0.724,255
77,0.730,255
78,0.758,255
79,0.758,255
80,0.720,255
81,0.848,255
82,0.871,255
83,0.849,255
84,0.842,255
85,0.858,255
86,0.832,255
87,0.887,255
88,0.869,255
89,0.871,255
90,0.917,255
91,0.912,255
92,0.925,255
93,0.930,255
94,0.931,255
95,0.950,255
96,0.913,255
97,0.896,255
98,0.984,255
99,0.970,255
100,0.980,255
101,0.936,255
102,1.005,255
103,1.027,255
104,1.068,255
105,1.057,255
106,1.083,255
107,1.035,255
108,1.016,255
109,1.049,255
110,1.116,255
111,1.084,255
112,1.078,255
113,1.100,255
114,1.104,255
115,1.075,255
116,1.141,255
117,1.126,255
118,1.089,255
119,1.129,255
120,1.150,255
121,1.134,255
122,1.152,255
123,1.144,255
124,1.153,255
125,1.201,255
126,1.141,255
127,1.191,255
128,1.143,255
129,1.118,255
130,1.182,255
131,1.171,255
132,1.130,255
133,1.158,255
134,1.140,255
135,1.159,255
136,1.134,255
137,1.180,255
138,1.214,255
139,1.212,255
140,1.242,255
141,1.225,255
142,1.251,255
143,1.298,255
144,1.277,255
145,1.295,255
146,1.248,255
147,1.271,255
148,1.296,255
149,1.255,255
150,1.263,255
151,1.298,255
152,1.189,255
153,1.257,255
154,1.248,255
155,1.267,255
156,1.281,255
157,1.212,255
158,1.225,255
159,1.225,255
160,1.242,255
161,1.292,255
162,1.260,255
163,1.231,255
164,1.289,255
165,1.258,255
166,1.294,255
167,1.289,255
168,1.276,255
169,1.323,255
170,1.336,255
171,1.337,255
172,1.338,255
173,1.360,255
174,1.380,255
175,1.397,255
176,1.390,255
177,1.401,255
178,1.385,255
179,1.390,255
180,1.368,255
181,1.431,255
182,1.411,255
183,1.450,255
184,1.430,255
185,1.447,255
186,1.431,255
187,1.456,255
188,1.447,255
189,1.467,255
190,1.461,255
191,1.441,255
192,1.446,255
193,1.465,255
194,1.453,255
195,1.472,255
196,1.441,255
197,1.495,255
198,1.476,255
199,1.453,255
200,1.445,255
201,1.470,255
202,1.486,255
203,1.443,255
204,1.465,255
205,1.508,255
206,1.497,255
207,1.516,255
208,1.492,255
209,1.466,255
210,1.470,255
211,1.542,255
212,1.503,255
213,1.531,255
214,1.541,255
215,1.550,255
216,1.513,255
217,1.523,255
218,1.490,255
219,1.625,255
220,1.579,255
221,1.537,255
222,1.558,255
223,1.526,255
224,1.519,255
225,1.528,255
226,1.563,255
227,1.568,255
228,1.629,255
229,1.702,255
230,1.641,255
231,1.593,255
232,1.680,255
233,1.621,255
234,1.645,255
235,1.622,255
236,1.611,255
237,1.627,255
238,1.666,255
239,1.609,255
240,1.622,255
241,1.611,255
242,1.603,255
243,1.563,255
244,1.485,255
245,1.480,255
246,1.480,255
247,1.546,255
248,1.574,255
249,1.536,255
250,1.482,255
251,1.530,255
252,1.550,255
253,1.510,255
254,1.510,255
255,1.600,255
256,1.505,255
257,1.553,255
258,1.573,255
259,1.554,255
260,1.592,255
261,1.591,255
262,1.576,255
263,1.555,255
264,1.620,255
265,1.626,255
266,1.603,255
267,1.508,255
268,1.578,255
269,1.513,255
270,1.585,255
271,1.602,255
272,1.546,255
273,1.523,255
274,1.542,255
275,1.549,255
276,1.539,255
277,1.492,255
278,1.530,255
279,1.555,255
280,1.465,255
281,1.497,255
282,1.529,255
283,1.499,255
284,1.485,255
285,1.483,255
286,1.502,255
287,1.528,255
288,1.544,255
289,1.483,255
290,1.505,255
291,1.559,255
292,1.525,255
293,1.503,255
294,1.516,255
295,1.511,255
296,1.533,255
297,1.570,255
298,1.562,255
299,1.546,255
300,1.547,255
301,1.516,255
302,1.501,255
303,1.513,255
304,1.491,255
305,1.537,255
306,1.549,255
307,1.570,255
308,1.523,255
309,1.561,255
310,1.579,255
311,1.592,255
312,1.605,255
313,1.589,255
314,1.590,255
315,1.620,255
316,1.603,255
317,1.642,255
318,1.603,255
319,1.580,255
320,1.596,255
321,1.582,255
322,1.633,255
323,1.628,255
324,1.639,255
325,1.641,255
326,1.622,255
327,1.596,255
328,1.650,255
329,1.642,255
330,1.598,255
331,1.561,255
332,1.593,255
333,1.581,255
334,1.581,255
335,1.589,255
336,1.646,255
337,1.600,255
338,1.592,255
339,1.613,255
340,1.643,255
341,1.593,255
342,1.644,255
343,1.641,255
344,1.630,255
345,1.649,255
346,1.629,255
347,1.613,255
348,1.616,255
349,1.589,255
350,1.605,255
351,1.583,255
352,1.624,255
353,1.617,255
354,1.653,255
355,1.637,255
356,1.665,255
357,1.659,255
358,1.654,255
359,1.625,255
360,1.643,255
361,1.624,255
362,1.649,255
363,1.621,255
364,1.643,255
365,1.596,255
366,1.623,255
367,1.636,255
368,1.640,255
369,1.631,255
370,1.616,255
371,1.651,255
372,1.617,255
373,1.678,255
374,1.708,255
375,1.651,255
376,1.646,255
377,1.684,255
378,1.614,255
379,1.585,255
380,1.627,255
381,1.606,255
382,1.625,255
383,1.596,255
384,1.638,255
385,1.619,255
386,1.540,255
387,1.582,255
388,1.558,255
389,1.531,255
390,1.484,255
391,1.458,255
392,1.445,255
393,1.416,255
394,1.393,255
395,1.387,255
396,1.418,255
397,1.369,255
398,1.355,255
399,1.345,255
400,1.381,255
401,1.335,255
402,1.336,255
403,1.400,255
404,1.393,255
405,1.337,255
406,1.311,255
407,1.291,255
408,1.277,255
409,1.295,255
410,1.296,255
411,1.307,255
412,1.300,255
413,1.265,255
414,1.286,255
415,1.285,255
416,1.284,255
417,1.265,255
418,1.262,255
419,1.193,255
420,1.269,255
421,1.255,255
422,1.224,255
423,1.185,255
424,1.181,255
425,1.199,255
426,1.154,255
427,1.161,255
428,1.092,255
429,1.098,255
430,1.109,255
431,1.165,255
432,1.133,255
433,1.143,255
434,1.117,255
435,1.085,255
436,1.040,255
437,1.039,255
438,1.049,255
439,1.000,255
440,1.059,255
441,1.081,255
442,1.032,255
443,0.983,255
444,1.021,255
445,1.024,255
446,0.993,255
447,1.019,255
448,1.052,255
449,1.007,255
450,0.973,255
451,0.975,255
452,0.983,255
453,0.989,255
454,0.972,255
455,1.001,255
456,0.973,255
457,1.015,255
458,1.032,255
459,0.926,255
