 ,Area,Mean
1,37.479,0
2,37.479,0
3,37.479,0
4,37.479,0
5,37.479,0
6,37.479,0
7,37.479,0
8,37.479,0
9,37.479,0
10,37.479,0
11,37.479,0
12,37.479,0
13,37.479,0
14,37.479,0
15,37.479,0
16,37.479,0
17,37.479,0
18,37.479,0
19,37.479,0
20,37.479,0
21,37.479,0
22,37.479,0
23,37.479,0
24,37.479,0
25,37.479,0
26,37.479,0
27,37.479,0
28,37.479,0
29,37.479,0
30,37.479,0
31,37.479,0
32,37.479,0
33,37.479,0
34,37.479,0
35,37.479,0
36,37.479,0
37,37.479,0
38,37.479,0
39,37.479,0
40,37.479,0
41,37.479,0
42,37.479,0
43,37.479,0
44,37.479,0
45,37.479,0
46,37.479,0
47,37.479,0
48,37.479,0
49,37.479,0
50,37.479,0
51,37.479,0
52,37.479,0
53,37.479,0
54,37.479,0
55,37.479,0
56,37.479,0
57,37.479,0
58,37.479,0
59,37.479,0
60,37.479,0
61,37.479,0
62,37.479,0
63,37.479,0
64,37.479,0
65,37.479,0
66,37.479,0
67,37.479,0
68,37.479,0
69,37.479,0
70,37.479,0
71,37.479,0
72,37.479,0
73,37.479,0
74,37.479,0
75,37.479,0
76,37.479,0
77,37.479,0
78,37.479,0
79,37.479,0
80,37.479,0
81,37.479,0
82,37.479,0
83,37.479,0
84,37.479,0
85,37.479,0
86,37.479,0
87,37.479,0
88,37.479,0
89,37.479,0
90,37.479,0
91,37.479,0
92,37.479,0
93,37.479,0
94,37.479,0
95,37.479,0
96,37.479,0
97,37.479,0
98,37.479,0
99,37.479,0
100,37.479,0
101,37.479,0
102,37.479,0
103,37.479,0
104,37.479,0
105,37.479,0
106,37.479,0
107,37.479,0
108,37.479,0
109,37.479,0
110,37.479,0
111,37.479,0
112,37.479,0
113,37.479,0
114,37.479,0
115,37.479,0
116,37.479,0
117,37.479,0
118,37.479,0
119,37.479,0
120,37.479,0
121,37.479,0
122,37.479,0
123,37.479,0
124,37.479,0
125,37.479,0
126,37.479,0
127,37.479,0
128,37.479,0
129,37.479,0
130,37.479,0
131,37.479,0
132,37.479,0
133,37.479,0
134,37.479,0
135,37.479,0
136,37.479,0
137,37.479,0
138,37.479,0
139,37.479,0
140,37.479,0
141,37.479,0
142,37.479,0
143,37.479,0
144,37.479,0
145,37.479,0
146,37.479,0
147,37.479,0
148,37.479,0
149,37.479,0
150,37.479,0
151,37.479,0
152,37.479,0
153,37.479,0
154,37.479,0
155,37.479,0
156,37.479,0
157,37.479,0
158,37.479,0
159,37.479,0
160,37.479,0
161,37.479,0
162,37.479,0
163,37.479,0
164,37.479,0
165,37.479,0
166,37.479,0
167,37.479,0
168,37.479,0
169,37.479,0
170,37.479,0
171,37.479,0
172,37.479,0
173,37.479,0
174,37.479,0
175,37.479,0
176,37.479,0
177,37.479,0
178,37.479,0
179,37.479,0
180,37.479,0
181,37.479,0
182,37.479,0
183,37.479,0
184,37.479,0
185,37.479,0
186,37.479,0
187,37.479,0
188,37.479,0
189,37.479,0
190,37.479,0
191,37.479,0
192,37.479,0
193,37.479,0
194,37.479,0
195,37.479,0
196,37.479,0
197,37.479,0
198,37.479,0
199,37.479,0
200,37.479,0
201,37.479,0
202,37.479,0
203,37.479,0
204,37.479,0
205,37.479,0
206,37.479,0
207,37.479,0
208,37.479,0
209,37.479,0
210,37.479,0
211,37.479,0
212,37.479,0
213,37.479,0
214,37.479,0
215,37.479,0
216,37.479,0
217,37.479,0
218,37.479,0
219,37.479,0
220,37.479,0
221,37.479,0
222,37.479,0
223,37.479,0
224,37.479,0
225,37.479,0
226,37.479,0
227,37.479,0
228,37.479,0
229,37.479,0
230,37.479,0
231,37.479,0
232,37.479,0
233,37.479,0
234,37.479,0
235,37.479,0
236,37.479,0
237,37.479,0
238,37.479,0
239,37.479,0
240,37.479,0
241,37.479,0
242,37.479,0
243,37.479,0
244,37.479,0
245,37.479,0
246,37.479,0
247,37.479,0
248,37.479,0
249,37.479,0
250,37.479,0
251,37.479,0
252,37.479,0
253,37.479,0
254,37.479,0
255,37.479,0
256,37.479,0
257,37.479,0
258,37.479,0
259,37.479,0
260,37.479,0
261,37.479,0
262,37.479,0
263,37.479,0
264,37.479,0
265,37.479,0
266,37.479,0
267,37.479,0
268,37.479,0
269,37.479,0
270,37.479,0
271,37.479,0
272,37.479,0
273,37.479,0
274,37.479,0
275,37.479,0
276,37.479,0
277,37.479,0
278,37.479,0
279,37.479,0
280,37.479,0
281,37.479,0
282,37.479,0
283,37.479,0
284,37.479,0
285,37.479,0
286,37.479,0
287,0.011,255
288,0.018,255
